In 1;In 2;In 3;In 4;In 5;In 6;In 7;In 8;Out 1;Out 2;Out 3;Out 4
8;23;41;127;0;5;3;3;0;0;1;0
12;28;113;23;49;26;11;10;0;0;1;0
0;34;120;35;17;7;4;1;0;0;1;0
7;26;30;115;7;0;1;2;0;0;1;0
11;4;127;12;20;8;6;6;0;0;1;0
10;18;46;115;45;2;1;6;0;0;1;0
37;64;117;3;0;22;16;18;0;0;1;0
20;26;30;105;2;1;4;9;0;0;1;0
11;56;9;120;13;5;7;6;0;0;1;0
9;35;38;113;31;3;3;3;0;0;1;0
8;28;31;108;3;2;4;5;0;0;1;0
6;2;103;9;30;13;7;6;0;0;1;0
15;46;50;109;4;6;5;7;0;0;1;0
12;27;52;113;33;21;11;9;0;0;1;0
11;19;50;127;8;5;4;1;0;0;1;0
16;58;60;103;4;0;3;4;0;0;1;0
15;20;102;30;10;12;10;9;0;0;1;0
8;40;38;126;16;5;3;4;0;0;1;0
9;11;112;17;6;5;6;7;0;0;1;0
15;37;66;110;30;15;8;9;0;0;1;0
7;37;104;11;10;1;1;3;0;0;1;0
19;37;44;112;17;15;10;12;0;0;1;0
7;34;46;127;43;8;2;2;0;0;1;0
0;6;18;108;36;7;2;0;0;0;1;0
1;15;121;75;8;6;0;1;0;0;1;0
14;2;102;121;11;11;11;11;0;0;1;0
3;23;10;127;55;5;1;1;0;0;1;0
28;30;60;88;29;10;18;32;0;0;1;0
27;35;88;87;42;22;16;14;0;0;1;0
26;29;87;74;33;17;8;16;0;0;1;0
26;9;76;88;5;2;1;29;0;0;1;0
24;46;26;98;20;15;17;13;0;0;1;0
23;41;91;22;21;15;11;11;0;0;1;0
21;33;76;88;34;15;1;10;0;0;1;0
20;34;66;86;28;17;8;10;0;0;1;0
17;38;67;83;46;23;16;12;0;0;1;0
16;34;108;106;33;16;13;10;0;0;1;0
15;15;56;102;1;6;10;11;0;0;1;0
15;33;101;90;30;16;6;9;0;0;1;0
14;35;88;57;17;11;15;2;0;0;1;0
14;30;103;98;27;10;13;12;0;0;1;0
13;24;104;88;20;9;8;8;0;0;1;0
12;30;87;100;27;15;20;12;0;0;1;0
12;29;81;83;26;15;10;9;0;0;1;0
12;35;100;77;29;12;7;7;0;0;1;0
12;27;84;55;16;7;6;7;0;0;1;0
11;24;117;125;4;5;4;2;0;0;1;0
10;53;1;85;10;0;14;5;0;0;1;0
10;18;52;102;1;1;6;4;0;0;1;0
9;29;100;77;25;11;9;8;0;0;1;0
8;27;62;92;31;16;15;11;0;0;1;0
8;13;93;106;21;10;14;14;0;0;1;0
8;27;101;76;22;8;9;2;0;0;1;0
6;24;88;64;22;14;14;9;0;0;1;0
4;13;88;71;14;6;5;5;0;0;1;0
3;16;57;82;13;2;6;3;0;0;1;0
2;13;82;50;25;13;6;15;0;0;1;0
2;13;88;98;18;4;1;3;0;0;1;0
1;10;28;100;55;25;41;25;0;0;1;0
0;24;71;101;28;14;6;1;0;0;1;0
9;20;71;123;36;13;8;6;0;0;1;0
6;3;58;119;4;10;8;6;0;0;1;0
1;3;73;116;5;2;2;4;0;0;1;0
29;49;114;95;47;34;25;20;0;0;1;0
1;1;105;114;27;1;1;0;0;0;1;0
12;30;116;127;19;2;6;8;0;0;1;0
16;15;34;102;46;12;5;11;0;0;1;0
20;23;18;125;48;29;20;17;0;0;1;0
4;2;22;101;4;2;3;3;0;0;1;0
4;5;6;126;39;10;6;5;0;0;1;0
3;13;67;111;4;9;1;2;0;0;1;0
3;8;55;127;60;8;3;1;0;0;1;0
18;39;66;121;85;39;22;16;0;0;1;0
8;16;60;101;27;1;4;1;0;0;1;0
17;31;45;113;1;0;9;14;0;0;1;0
8;11;7;118;32;1;9;8;0;0;1;0
10;17;53;127;38;14;11;6;0;0;1;0
4;14;7;109;27;5;0;1;0;0;1;0
11;30;72;106;11;21;9;5;0;0;1;0
3;13;70;119;28;6;3;4;0;0;1;0
10;19;98;106;35;22;15;9;0;0;1;0
8;23;74;111;42;9;5;5;0;0;1;0
